search URL:,https://patents.google.com/?assignee=Celi&oq=assignee:%28Celi%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-4828661-A,Process for recovery of metals from metal/plastic waste ,Celi Antonio M,Antonio M. Celi,1987-09-24,1987-12-11,1989-05-09,1989-05-09,https://patents.google.com/patent/US4828661A/en,
US-5196154-A,Apparatus for the treatment of metal-laminated plastics scrap ,Celi Antonio M,Antonio M. Celi,1990-06-10,1991-12-05,1993-03-23,1993-03-23,https://patents.google.com/patent/US5196154A/en,https://patentimages.storage.googleapis.com/47/35/12/eb29b372158360/US5196154-drawings-page-2.png
US-9208325-B2,Protecting data on a mobile device ,International Business Machines Corporation,"Mark Alexander McGloin, Olgierd Stanislaw Pieczul, Joseph Celi, Jr.",2012-07-26,2012-07-26,2015-12-08,2015-12-08,https://patents.google.com/patent/US9208325B2/en,https://patentimages.storage.googleapis.com/2c/b0/b4/ced58d6ade9fdf/US09208325-20151208-D00000.png
US-9451454-B2,Mobile device identification for secure device access ,International Business Machines Corporation,"Joseph Celi, Jr., Olgierd S. Pieczul, Mary Ellen Zurko",2012-01-05,2012-01-05,2016-09-20,2016-09-20,https://patents.google.com/patent/US9451454B2/en,https://patentimages.storage.googleapis.com/32/fd/20/eb906d426a9227/US09451454-20160920-D00000.png
ES-242134-U,A blank scheduled for a reci- piente tranformarse cardboard. ,Ex-Celi-O Corporation,,1976-07-23,1977-07-22,1979-12-01,,https://patents.google.com/patent/ES242134U/en,
US-2010019137-A1,High Filling Flow Water Phantom ,"Torre Juan-Carlos Celi De La, Stefan Reinhold, Roman Harmansa, Rob Plompen","Juan-Carlos Celi de la Torre, Stefan Reinhold, Roman Harmansa, Rob Plompen",2008-07-22,2009-07-22,2010-01-28,,https://patents.google.com/patent/US20100019137A1/en,https://patentimages.storage.googleapis.com/US20100019137A1/US20100019137A1-20100128-D00000.png
US-5252189-A,Method of processing used appliance batteries ,Celi Antonio M,Antonio M. Celi,1990-06-26,1991-12-23,1993-10-12,1993-10-12,https://patents.google.com/patent/US5252189A/en,https://patentimages.storage.googleapis.com/32/d7/26/046069ecac0afe/US5252189-drawings-page-2.png
US-8487269-B2,Combined radiation therapy and magnetic resonance unit ,"Siemens Aktiengesellschaft, Siemens Medical Solutions Usa, Inc.","Christopher Jude Amies, Paul Beasley, Juan Carlos Celi, Oliver Heid, Francisco Miguel Hernandez-Guerra, Marcel Jan Marie Kruip, Markus Vester",2007-02-28,2011-02-28,2013-07-16,2013-07-16,https://patents.google.com/patent/US8487269B2/en,https://patentimages.storage.googleapis.com/9a/48/13/0cf7259e6e6a5b/US08487269-20130716-D00000.png
DE-2908355-A1,Tempering recirculated heat transfer medium - by providing inlet and outlet of recirculating circuit with by=pass for mixing medium with tempered medium ,Antonio M Dipl Ing Celi,Antonio M Dipl Ing Celi,1979-03-03,1979-03-03,1980-09-18,,https://patents.google.com/patent/DE2908355A1/en,
US-5190649-A,Apparatus for working up metal-charged waste sludges ,Celi Antonio M,Antonio M. Celi,1988-06-23,1989-06-14,1993-03-02,1993-03-02,https://patents.google.com/patent/US5190649A/en,https://patentimages.storage.googleapis.com/c4/50/d9/160a0d12c5c8aa/US5190649-drawings-page-2.png
US-8931081-B2,Device identification for externalizing password from device coupled with user control of external password service ,International Business Machines Corporation,"Joseph Celi, Jr., Mark Alexander McGloin, Harshita Nersu, Olgierd Stanislaw Pieczul",2012-08-21,2012-08-21,2015-01-06,2015-01-06,https://patents.google.com/patent/US8931081B2/en,https://patentimages.storage.googleapis.com/02/5e/d9/458335c7f5df44/US08931081-20150106-D00000.png
US-8135670-B2,Embedded change logging for data synchronization ,International Business Machines Corporation,"Joseph Celi, Jr., Ashok C. Mammen",2008-07-22,2008-07-22,2012-03-13,2012-03-13,https://patents.google.com/patent/US8135670B2/en,https://patentimages.storage.googleapis.com/fc/0e/c0/f40e97ca5e5391/US08135670-20120313-D00000.png
US-8825006-B2,Authentication request management ,International Business Machines Corporation,"Joseph Celi, Jr., Mark Mcgloin, Olgierd S. Pieczul",2012-05-30,2012-05-30,2014-09-02,2014-09-02,https://patents.google.com/patent/US8825006B2/en,https://patentimages.storage.googleapis.com/52/fe/5b/1f51e15edd00e1/US08825006-20140902-D00000.png
US-5460195-A,Device for washing metal-containing sludges ,Celi; Antonio M.,Antonio M. Celi,1993-10-07,1994-10-04,1995-10-24,1995-10-24,https://patents.google.com/patent/US5460195A/en,https://patentimages.storage.googleapis.com/ce/a7/66/351d4b06827e1b/US5460195-drawings-page-2.png
US-8903360-B2,Mobile device validation ,International Business Machines Corporation,"Joseph Celi, Jr., Brett Gavagni, Mary Ellen Zurko",2012-05-17,2012-05-17,2014-12-02,2014-12-02,https://patents.google.com/patent/US8903360B2/en,https://patentimages.storage.googleapis.com/60/ea/f1/b4d55f4294fe95/US08903360-20141202-D00000.png
US-9000790-B2,Defect detection by thermal frequency imaging ,Stmicroelectronics Sa,"Guillaume Celi, Thierry Parrassin, Sylvain Dudit",2011-05-08,2012-08-06,2015-04-07,2015-04-07,https://patents.google.com/patent/US9000790B2/en,https://patentimages.storage.googleapis.com/16/bf/d8/2662a93de25180/US09000790-20150407-D00000.png
US-2003065967-A1,Troubleshooting engine and method for using same ,"Joel Garcia, Craig Arnush, Balan Tholandi, Jeff Mazon, Luc Tran, Celi J. Dilan","Joel Garcia, Craig Arnush, Balan Tholandi, Jeff Mazon, Luc Tran, J. Celi",2001-09-29,2001-09-29,2003-04-03,,https://patents.google.com/patent/US20030065967A1/en,https://patentimages.storage.googleapis.com/3f/16/84/5d4824556265de/US20030065967A1-20030403-D00000.png
US-2005275536-A1,Appliance security system ,"Santo Celi, Jim Chan","Santo Celi, Jim Chan",2004-06-10,2004-06-10,2005-12-15,,https://patents.google.com/patent/US20050275536A1/en,https://patentimages.storage.googleapis.com/87/c8/c8/6615a15967b752/US20050275536A1-20051215-D00000.png
US-5700425-A,Device for the pretreatment of electronic scrap ,Celi; Antonio Maria,Antonio Maria Celi,1993-11-03,1994-10-31,1997-12-23,1997-12-23,https://patents.google.com/patent/US5700425A/en,https://patentimages.storage.googleapis.com/cd/3f/ae/6137ab4d2bdf40/US5700425-drawings-page-2.png
WO-9953816-A1,Toilet paper moistening device ,"Celi, Livio, Ernesto",Antonio M. Celi,1998-04-21,1999-04-21,1999-10-28,,https://patents.google.com/patent/WO1999053816A1/en,
US-6871051-B1,Serial data transmission system using minimal interface ,"Keith Barr, Frank Thomson, Peter Celi","Keith Barr, Frank Thomson, Peter Celi",2000-06-26,2000-06-26,2005-03-22,2005-03-22,https://patents.google.com/patent/US6871051B1/en,https://patentimages.storage.googleapis.com/8b/a0/bc/2f2661f5549454/US06871051-20050322-D00000.png
US-5522153-A,Device and process for pre-treating electronic circuit scraps ,Celi; Antonio M.,Antonio M. Celi,1993-10-07,1994-10-04,1996-06-04,1996-06-04,https://patents.google.com/patent/US5522153A/en,https://patentimages.storage.googleapis.com/aa/db/ee/24b16529ce13ca/US5522153-drawings-page-2.png
DE-3208609-C2,Patent DE3208609C2 ,"Antonio Maria Dipl.-Ing. 5466 Neustadt De Celi, 5460 Linz De Volksbank Linz E.G.","Antonio Maria Dipl.-Ing. 5466 Neustadt De Celi, 5460 Linz De Volksbank Linz E.G.",1982-03-10,1982-03-10,1989-03-30,1989-03-30,https://patents.google.com/patent/DE3208609C2/en,
CN-205782915-U,Flue gas is from type of respiration multithread thigh total oxygen nozzle ,上海策立工程技术有限公司,薛根山,2016-05-23,2016-05-23,2016-12-07,2016-12-07,https://patents.google.com/patent/CN205782915U/en,
CN-206178491-U,Formula flue gas adjusting system patrols and examines ,上海策立工程技术有限公司,"张勇, 陈磊, 熊正帮",2016-06-16,2016-06-16,2017-05-17,2017-05-17,https://patents.google.com/patent/CN206178491U/en,
CN-201729591-U,Multi-function controller position ,杭州策力机电科技有限公司,"周增林, 陈爱平",2010-02-01,2010-02-01,2011-02-02,2011-02-02,https://patents.google.com/patent/CN201729591U/en,
US-2017191278-A1,Drywall Repair Device ,Vincent Celi,Vincent Celi,2015-12-31,2016-12-22,2017-07-06,,https://patents.google.com/patent/US20170191278A1/en,https://patentimages.storage.googleapis.com/55/63/6f/7a0bd522ecbd02/US20170191278A1-20170706-D00000.png
CN-105547000-A,Routing inspection type flue gas adjusting system and method of rolled steel based double-heat-accumulation type heating furnace ,上海策立工程技术有限公司,"张勇, 陈磊, 熊正帮",2016-02-02,2016-02-02,2016-05-04,,https://patents.google.com/patent/CN105547000A/en,
CN-206127375-U,Long -time high temperature continuous monitor device in heating furnace ,上海策立工程技术有限公司,张勇,2016-08-19,2016-08-19,2017-04-26,2017-04-26,https://patents.google.com/patent/CN206127375U/en,
CN-206019436-U,Passive enhanced heat transfer plug -in components of radiant tube ,上海策立工程技术有限公司,薛根山,2016-08-16,2016-08-16,2017-03-15,2017-03-15,https://patents.google.com/patent/CN206019436U/en,
CN-204422032-U,Axial-symmetry deep hole bending type weighing sensor ,泰安市泰山策力电子测量有限公司,"尹延荣, 卢正林",2015-02-06,2015-02-06,2015-06-24,2015-06-24,https://patents.google.com/patent/CN204422032U/en,
AU-5955765-A,Fabrics ,Celi Anese Corporation Of America,,1964-06-01,1965-05-31,1966-12-01,,https://patents.google.com/patent/AU5955765A/en,
